publisher,series title,issue title,cover image,description,writers,artists,inkers,colorists,pages,release date
Fantagraphics,The Lie and How We Told It,The Lie and How We Told It,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/502599/502599._SX360_QL80_TTD_.jpg,"A friendship fumbles and falls apart after an uncertain encounter in this graphic novel from a remarkable new voice. Parrish’s emotionally loaded, painted graphic novel is is a visual tour de force, always in the service of the author’s themes: navigating queer desire, masculinity, fear, and the ever-in-flux state of friendships.",Tommi Parrish,Tommi Parrish,,,126 Pages,January 24 2018
IDW,Gears of War: The Rise of RAAM,Gears of War: The Rise of RAAM #1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/595741/copyOfFirstPage._SX360_QL80_TTD_.jpg,"The most iconic villain of the Gears of War universe takes the spotlight! Years before he became the bane of humanity on Emergence Day, RAAM rose through the ranks to take leadership of the Locust Horde armies thanks to his intelligence, strength, and ruthlessness. Now, witness that swift and brutal ascent in... The Rise of RAAM!",Kurtis J Wiebe,Max Dunbar,,,30 Pages,January 24 2018
Archie,Archie Comics Graphic Novels,Archies Big Book Vol. 2: Fantasy,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/629710/629710._SX360_QL80_TTD_.jpg,This second volume of the ARCHIE BIG BOOK series features some of the best fantasy and fairy tale stories featured in Archie comics!,Various,Various,,,305 Pages,January 10 2018
Archie,Betty & Veronica: Vixens,Betty & Veronica Vixens #3,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/619129/619129._SX360_QL80_TTD_.jpg,NEW ONGOING SERIES! The Vixens are taking matters into their own hands and doing whatever they can to protect their hometown. But are they a match against the dangerous Southside Serpents?,Jamie L. Rotante,"Eva Cabrera, Rachel Deering, Elaina Unger",,,25 Pages,January 24 2018
BOOM! Studios,Sabans Go Go Power Rangers,Sabans Go Go Power Rangers #6,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/619891/619891._SX360_QL80_TTD_.jpg,Ritas continued manipulations begin to succeed in turning the Rangers against Zordon.,Ryan Parrott,Dan Mora,,Raul Angulo,27 Pages,January 24 2018
BOOM! - BOOM! Box,Lumberjanes,Lumberjanes #46,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/619851/619851._SX360_QL80_TTD_.jpg,"While on their Jackalope quest, the Roanokes meet Emmy, a roaming cowgirl, and her herd of critters and cryptids.","Kat Leyh, Shannon Watters",Ayme Sotuyo,,Maarta Laiho,29 Pages,January 24 2018
BOOM! Studios,WWE,WWE Vol. 2: The Lunatic Fringe,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/619916/619916._SX360_QL80_TTD_.jpg,"Dean Ambrose decides to take his career to a new level, which begins with provoking the scariest man in the WWE—the beast incarnate, Brock Lesnar. But Dean’s not alone, as he finds an unlikely ally in The Legit Boss, Sasha Banks. Collects issues #5-8 of the hit series.",Dennis Hopeless,Serg Acuña,,Doug Garbark,113 Pages,January 24 2018
Dark Horse,Dept. H,Dept. H #22,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/598689/598689._SX360_QL80_TTD_.jpg,"Mias final memory of her father and his work might be the key to solving his murder and saving the Dept. H base. A heartbreaking tale of love, guilt, and regret.

Dept. H is a rich, unique book with a fascinating art style and a rich world.--The Fandom Post",Matt Kindt,Matt Kindt,,Sharlene Kindt,28 Pages,January 24 2018
Dark Horse,Empowered and Sistah Spookys High School Hell,Empowered and Sistah Spookys High School Hell #2,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/598694/598694._SX360_QL80_TTD_.jpg,"Trapped in a high-school hellscape, can struggling superheroines Empowered and Sistah Spooky avoid dissection by giant, revenge-minded frogs in an infernal Biology class--and can they survive spell-powered bullying by sneering, school-uniformed sorceresses wielding hellishly abusive text messages and emoji as shockingly lethal magic weapons?",Adam Warren,Carla Speed McNeil,,Jenn Manley Lee,25 Pages,January 24 2018
Dark Horse,Sherlock Frankenstein & The Legion of Evil: From the World of Black Hammer,Sherlock Frankenstein & The Legion of Evil: From the World of Black Hammer #4,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/598699/598699._SX360_QL80_TTD_.jpg,Lucys search for her missing father--the famed super hero the Black Hammer--leads her to his greatest enemy of all: SHERLOCK FRANKENSTEIN!,Jeff Lemire,David Rubin,,,22 Pages,January 24 2018
Dark Horse,Zodiac Starforce: Cries of the Fire Prince,Zodiac Starforce: Cries of the Fire Prince #3,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/551982/551982._SX360_QL80_TTD_.jpg,"Defeated by the Zodiac Starforce, the demon Pavos rebuilds his strength to take them on again . . . this time for good! Molly discovers a secret the UK team is hiding, and the tenuous alliance between Zodiac teams is tested!

An interesting cast, a perplexing mystery and gorgeous art make this one a keeper.--Major Spoilers",Kevin Panetta,Paulina Ganucheau,,Sarah Stern,24 Pages,January 24 2018
DC,Action Comics (2016-),Action Comics (2016-) #996,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/606294/606294._SX360_QL80_TTD_.jpg,"“BOOSTER SHOT” part four! Superman and Booster Gold are out of time, and they’ve found themselves marooned on a strange planet sometime in the future. So why does this planet’s infrastructure look…Kryptonian? The answer shakes the Man of Steel to the core as the ruler of this planet reveals himself…the son of Zod reigns supreme!",Dan Jurgens,Will Conrad,Will Conrad,Ivan Nunes,29 Pages,January 24 2018
DC,Batgirl (2016-),Batgirl (2016-) #19,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/606304/606304._SX360_QL80_TTD_.jpg,"When a massive blizzard hits Gotham City without warning, Batgirl must brave the bitter cold to discover the truth behind the storm. Is it an act of nature? Or is the Penguin up to no good? Find out in what promises to be a chilling metropolitan mystery for the ages!",Hope Larson,Chris Wildgoose,Jose Marzan Jr.,Mat Lopes,30 Pages,January 24 2018
DC,Batman Beyond (2016-),Batman Beyond (2016-) #16,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/606324/606324._SX360_QL80_TTD_.jpg,"“THE LONG PAYBACK” part three! Stalker has arrived in Neo-Gotham with one mission: bring down Batman! Terry will be pushed to his limits against an opponent with superior skills and training, and even Bruce Wayne may not be enough to help him. This is the knock-down, drag-out fight you won’t want to miss! Plus, learn who’s been hiring Gotham City’s underworld elite to bring down the Bat.",Dan Jurgens,"Bernard Chang, Phil Hester","Bernard Chang, Ande Parks","Marcelo Maiolo, Rico Renzi, Michael Spicer",30 Pages,January 24 2018
DC,Blue Beetle (2016-),Blue Beetle (2016-) #17,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/606349/606349._SX360_QL80_TTD_.jpg,"“ROAD TO NOWHERE” finale! Blue Beetle faces off against the deadly Stopwatch, a man who uses time as a weapon to pull threats from the future and age the Scarab into dust. While Jaime fights for his life, his friends are left to fight for their own against Stopwatch’s unhinged minions, the Short Timers.",Christopher Sebela,Scott Kolins,Scott Kolins,"Romulo Fajardo, Jr.",30 Pages,January 24 2018
DC,Detective Comics (2016-),Detective Comics (2016-) #973,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/606389/606389._SX360_QL80_TTD_.jpg,"“FALL OF THE BATMEN” finale! With the team in disarray and facing their most powerful adversary yet, Batwoman must make a critical battlefield choice—one with the power to shatter everything Batman has built! You’ll be talking about this issue for years to come!",James Tynion IV,Jesus Merino,Jesus Merino,Jason Wright,26 Pages,"
								Guillem March							"
DC,Doom Patrol (2016-),Doom Patrol (2016-) #10,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/559360/559360._SX360_QL80_TTD_.jpg,"The world is going haywire, and it’s up to the Doom Patrol to save it from going to S#!%. Weird things continue to happen that only the Chief can (attempt to) explain. Plus, tap dancing, and secret origins revealed!",Gerard Way,Nick Derington,"Nick Derington, Tom Fowler",Tamra Bonvillain,39 Pages,January 24 2018
DC,Hal Jordan & The Green Lantern Corps (2016-),Hal Jordan and The Green Lantern Corps (2016-) #37,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/606439/606439._SX360_QL80_TTD_.jpg,"“POWER OF ZOD” part one! After a recent battle with Superman in ACTION COMICS, General Zod recovers as he takes control of a small, undeveloped world. When Hal Jordan investigates, it sets the course for a confrontation between the Kryptonian warrior and the Corps’ bravest and brightest Lanterns.",Robert Venditti,Rafa Sandoval,Jordi Tarragona,Tomeu Morey,28 Pages,January 24 2018
Vertigo,Imaginary Fiends (2017-),Imaginary Fiends (2017-) #3,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/606459/606459._SX360_QL80_TTD_.jpg,"Agent Melba Li and her imaginary monster partner, Polly Peachpit, continue their search for a missing child, as a twisted conspiracy unfolds in the small town of Maiden Springs. What is the Fraidy Cat? And how can a woman who lives in fear defeat something that lives on it?",Tim Seeley,Stephen Molnar,Stephen Molnar,Quinton Winter,24 Pages,January 24 2018
DC,Justice League of America (2017-),Justice League of America (2017-) #23,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/606484/606484._SX360_QL80_TTD_.jpg,"“QUEEN OF FABLES” part two! The Queen of Fables has begun granting the wishes of everyone across the globe, and with each wish granted, her powers grow greater. The Justice League has to police people’s dangerous wishes while one of their own, Killer Frost, has her greatest wish granted by the Queen…",Steve Orlando,Neil Edwards,"Daniel Henriques, Andy Owens",Hi-Fi,30 Pages,January 24 2018
DC,Looney Tunes (1994-),Looney Tunes (1994-) #241,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/606489/606489._SX360_QL80_TTD_.jpg,"When Granny brings her pets to the movies, Sylvester sees the darkened theater as the perfect place for his favorite snack: a bucket of hot buttered Tweety!",Sholly Fisch,Robert Pope,Scott McRae,Candace Schinzler-Bell,26 Pages,January 24 2018
DC,Nightwing: The New Order (2017-),Nightwing: The New Order (2017-) #6,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/606524/606524._SX360_QL80_TTD_.jpg,"It all ends here! As Lex Luthor feverishly attempts to repower Superman, the Crusaders are closing in on the Resistance, aiming to shut them down for good! Meanwhile, Nightwing makes a deal with the devil in an attempt to save his son’s life…and it may cost him everything.",Kyle Higgins,Trevor McCarthy,Trevor McCarthy,Dean V. White,33 Pages,January 24 2018
DC,Raven: Daughter of Darkness (2018-),Raven: Daughter of Darkness (2018-) #1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/606534/606534._SX360_QL80_TTD_.jpg,"In this all-new miniseries, Raven faces a new, otherworldly menace that is all too grounded in reality. Plus, Raven’s personal life is in an uproar as her mother and aunt struggle for the soul of a Titan! It’s up to Baron Winters of the Night Force to intercede on her behalf as she embarks on the adventure called “The Girls With the Anime Eyes”!",Marv Wolfman,Pop Mhan,Pop Mhan,Lovern Kindzierski,34 Pages,January 24 2018
DC,Suicide Squad (2016-),Suicide Squad (2016-) #34,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/606564/606564._SX360_QL80_TTD_.jpg,"“THE CHOSEN JUAN” finale! With Harley, Deadshot and Croc out of commission, one last convict stands between the bloodthirsty alien armada and the annihilation of the human race: Juan! But what hope does a petty criminal have against such an unstoppable force?",Simon Spurrier,Fernando Pasarin,Sean Parsons,"Blond, Adriano Lucas",31 Pages,January 24 2018
DC,Teen Titans (2016-),Teen Titans (2016-) #16,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/606599/606599._SX360_QL80_TTD_.jpg,"“THE FOLLOWING” part one! In the aftermath of “Super Sons of Tomorrow” the Teen Titans are left without a place to call home. But a Titan’s work is never finished, and when a series of strange murders crop up in San Francisco, it’s up to the team to crack the case and prevent further bloodshed. Are the killings the work of a single serial killer…or is there a greater conspiracy at work?",Marv Wolfman,Tom Derenick,John Trevor Scott,,32 Pages,January 24 2018
