publisher,series title,issue title,cover image,description,writers,artists,inkers,colorists,pages,release date
Dynamite,Red Sonja Vol. 4,Red Sonja Vol. 4 #12,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/607469/607469._SX360_QL80_TTD_.jpg,"Leaving a world of fast motorcycles and cold beer, Sonja returns to a more familiar setting of swords and magic and mead. At a nearby tavern she learns strange magic is afoot in this land, and a desperate priest is offering mercenaries some serious gold for a dangerous job. But something doesn’t seem right...",Amy Chu,Carlos Gomez,,,32 Pages,January 17 2018
Dynamite,Sheena: Queen Of The Jungle,Sheena: Queen Of The Jungle #5,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/617548/617548._SX360_QL80_TTD_.jpg,"As monsters and mercenaries clash, Sheena must race to prevent a war that could annihilate all she holds dear!","Marguerite Bennett, Christina Trujillo",Moritat,,,30 Pages,January 17 2018
Dynamite,Will Eisner’s The Spirit: The Corpse-Makers,Will Eisners The Spirit: The Corpse-Makers #5,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/510466/510466._SX360_QL80_TTD_.jpg,"The PULP-tastic conclusion of one of Will Eisners THE SPIRITs most thrilling tales is here and has it all. Do not dare miss it! A diabolical plan has been set in motion and now all of Central City and its denizens are in grave danger. While trying to stop this madness, THE SPIRIT finds himself at the door of what could be literally HELL! 

From the mind of Francesco Francavilla comes the penultimate chapter of a tale of pulp and horror.",Francesco Francavilla,"Francesco Francavilla, Francesco Francavilla",Francesco Francavilla,,22 Pages,January 17 2018
Dynamite,Warlord of Mars,Warlord Of Mars: Omnibus Vol. 2,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/607499/607499._SX360_QL80_TTD_.jpg,"John Carter has freed Mars from Issus, the false goddess whose tyranny once ruled the entire planet... but at a great personal cost. Dejah Thoris, his beloved princess, was taken by Matai Shang, a renegade priest determined to avenge the planets shattered religion. Activating a doomsday device to destroy the fragile Martian atmosphere, Shang flees into the unknown regions of the north. Carter, aided by his son Carthoris and trusted alien pet Woola, must unite the many races of Mars — despite the ages of distrust and open warfare among them — for the singular purpose of averting Judgment Day! Collects issues 19-35, plus issues 0 &100!",Arvid Nelson,Daniel Sampere,,,485 Pages,January 17 2018
Europe Comics,Bob Morane Resurrection,Bob Morane Vol. 2: The Village That Didnt Exist,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/629460/629460._SX360_QL80_TTD_.jpg,"The all-new Bob Morane continues, following the heroic soldier into enemy territory. With his friend wounded, hes forced to seek aid in the village of Zamosho, the base of the terrorist organization Wal Jihad. His humanitarian operations to bring education to all of Nigeria are at serious risk—but from whom? On the other side of the globe, Sergeant Ballantine is finally a free agent again—but for how long? And when Bob Morane meets Tania Orloff, niece of the mysterious Mr. Ming, the tangled web of influences and objectives will develop even more knots...","Luc Brunschwig, Aurélien Ducoudray",Armand,,,59 Pages,January 17 2018
Europe Comics,Chinaman,Chinaman Vol. 5: Between Two Shores,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/629470/629470._SX360_QL80_TTD_.jpg,"At Kinney Trading Post, John Chinaman gets accosted by a pair of bounty hunters when a good deed from his past returns to haunt him. But soon, all three of them have bigger troubles on their hands: the Yagger brothers have waylaid a would-be schoolmarm and her wagon driver in the woods. When the trunk they believed full of gold turns out to be full of books, Chinaman leaps in to save the schoolmarms life. Their perilous escape through Paiute territory involves running rapids on a raft, dodging vengeful bandits, and hardest of all—learning to trust each other.",Serge Le Tendre,Olivier Taduc,,,52 Pages,January 17 2018
Europe Comics,Dantès,Dantes Vol. 8: Toxic Truths,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/627386/627386._SX360_QL80_TTD_.jpg,"As Christopher Dantes recovers in hospital following his brutal attack in the Ebony Coast, Marion Tagher is left to run his company, Pharaoh, in his absence. With the life of its founder in peril, the multinationals value plummets... leaving it wide open to a hostile takeover. Meanwhile, Isaac Doucouré and Lucie Mondran are still in Africa, determined to find the young man who has the murdered journalist Jean-Paul Beauchamps notebook, convinced it will be the key to exposing the corrupt government and bringing Dantess attacker to justice...","Pierre Boisserie, Philippe Guillaume",Erik Juszezak,,,51 Pages,January 17 2018
Europe Comics,Emma and Violette,Emma and Violette Vol. 1: A Dream for Three,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/627389/627389._SX360_QL80_TTD_.jpg,"Emma and Violette are sisters who share the same dream of attending Pariss most prestigious dance school. Violette passes the first audition with flying colors, but Emma doesnt, and their world comes crashing down. But there may be more than one way to dance through life... This is the revelation at the heart of the first volume of this lively and graceful narrative.",Jérôme Hamon,Lena Sayaphoum,,,51 Pages,January 17 2018
Europe Comics,For the Empire,For the Empire Vol. 2: Women,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/629494/629494._SX360_QL80_TTD_.jpg,The going gets tough for Glorim Cortis and his men as they struggle through dense forest. The suffocating humidity and clouds of insects nearly have them at their wits end. No wonder theyre so elated when the reach what appears to be some kind of earthly paradise. But theyre not alone. Its not long before they find themselves up against some of the smartest and most skillful adversaries theyve ever come across: women.,"Merwan, Bastien Vivès","Merwan, Bastien Vivès",,,59 Pages,January 17 2018
Europe Comics,Giant,Giant Vol. 2,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/627381/627381._SX360_QL80_TTD_.jpg,"In the conclusion of this two-part story, Irish immigrant ironworker Jack ""Giant"" Jordan is brought face-to-face with the consequences of the lie he has been living, causing him to finally reckon with his troubled past. His story and those of the workers around him make up a tapestry of immigrant life in New York during the construction of the iconic Rockefeller Center in 1932.",Mikaël,Mikaël,,,66 Pages,January 17 2018
